esc;região;nbnhisp;hispânico;gênero;civil;exp;sind;salhora;;esc = escolaridade em anos
18;0;0;0;0;1;3;0;5,710000038;;
12;0;0;0;0;1;12;0;5,5;;
12;0;0;0;0;1;16;0;9;;
12;0;0;0;1;1;4;0;4,130000114;;
12;0;0;0;0;1;11;1;10;;
12;0;0;0;0;1;17;0;7,5;;
11;0;0;0;0;0;16;0;3,650000095;;
12;0;0;0;0;1;18;0;8,890000343;;
18;0;0;0;0;1;15;0;18;;
14;0;1;0;0;0;0;0;3,349999905;;
16;0;1;0;0;0;8;0;13,44999981;;
16;0;0;0;0;1;17;0;22,5;;
18;0;0;0;0;0;13;0;19;;
12;0;0;0;1;1;18;0;8,930000305;;
11;0;1;0;1;1;16;0;7;;
14;0;0;0;1;0;24;0;4,170000076;;
12;0;0;0;0;1;23;0;9,829999924;;
12;0;0;0;0;0;1;0;6,670000076;;
12;0;0;0;1;1;10;1;7;;
12;0;0;0;1;1;42;0;3,640000105;;
18;0;0;0;1;0;37;0;22,82999992;;
12;0;0;0;1;1;14;0;5;;
18;0;0;0;0;1;14;0;22,5;;
12;0;0;0;1;1;11;0;12;;
12;0;0;0;1;1;38;0;6,28000021;;
12;0;0;0;1;0;3;0;4,5;;
12;0;0;0;0;1;9;0;6;;
10;0;0;0;0;1;13;0;6,75;;
12;0;0;0;0;0;9;0;8,75;;
16;0;0;0;0;1;11;0;13,27999973;;
13;0;0;0;1;1;30;0;6,25;;
12;0;0;0;1;0;15;1;8,989999771;;
14;0;0;0;0;0;2;0;7,5;;
17;0;0;0;1;1;24;0;12;;
18;0;0;0;1;0;31;1;14;;
14;0;0;0;0;0;19;0;16,42000008;;
14;0;0;0;0;0;2;0;6,25;;
12;0;0;0;0;1;4;1;10,5;;
9;0;0;0;1;1;46;1;9,5;;
6;0;0;1;1;1;43;1;3;;
14;0;0;0;1;1;13;0;9,220000267;;
12;0;0;0;1;0;15;0;4;;
12;0;0;0;1;0;16;0;3,799999952;;
12;0;0;0;1;1;19;0;6;;
12;0;0;0;1;1;28;0;5;;
12;0;0;0;0;1;42;0;15;;
11;0;0;0;1;0;45;1;5,550000191;;
16;0;1;0;0;1;7;0;9;;
17;0;0;0;0;1;31;0;24,97999954;;
12;0;0;0;1;1;24;0;8,489999771;;
14;0;0;1;1;1;17;0;5;;
12;0;0;0;0;1;26;1;22,20000076;;
16;0;1;0;0;1;5;1;9,239999771;;
16;0;0;1;1;1;17;0;8;;
10;1;0;0;1;0;33;0;3,5;;
13;1;0;0;1;1;2;0;3,349999905;;
16;1;1;0;1;1;14;0;3,349999905;;
16;1;0;0;1;1;28;1;20;;
12;1;0;0;1;0;46;0;4;;
16;1;0;0;0;1;38;0;18;;
13;1;0;0;1;0;0;0;4,5;;
12;1;0;0;1;0;1;0;7,809999943;;
12;1;0;0;1;1;5;0;1,75;;
18;1;0;1;1;1;13;0;5,199999809;;
10;1;0;0;0;0;19;0;8,75;;
12;1;0;0;0;1;5;0;5;;
12;1;1;0;1;1;6;0;3,75;;
13;1;0;0;0;1;9;0;5,949999809;;
12;1;0;1;0;0;7;0;4;;
17;1;0;0;1;0;1;0;5;;
6;1;1;0;1;0;33;0;4,619999886;;
12;1;0;0;1;1;21;0;5,75;;
18;0;0;0;0;1;29;0;24,97999954;;
18;0;0;0;0;1;7;0;15,78999996;;
16;0;0;0;0;0;10;0;15,56000042;;
16;0;0;0;0;0;9;0;3,349999905;;
18;0;0;0;0;1;7;0;18,15999985;;
18;0;0;0;0;0;33;1;8;;
13;0;0;0;0;0;31;0;6;;
18;0;0;0;0;1;5;0;17,25;;
16;0;0;0;1;0;2;0;5,5;;
12;0;0;0;0;0;20;0;7,650000095;;
16;0;1;0;0;0;4;0;6,25;;
12;0;0;0;1;1;45;0;6,400000095;;
12;0;0;0;1;1;24;0;6,579999924;;
12;0;0;0;0;1;43;0;12,5;;
18;0;0;0;0;1;10;0;13,32999992;;
12;0;0;0;0;0;3;0;5,5;;
15;0;0;0;0;0;5;0;11,25;;
12;0;0;0;1;0;45;0;10,61999989;;
12;0;1;0;1;1;43;1;8;;
17;0;0;0;1;1;26;1;10,19999981;;
12;0;0;0;1;1;42;0;5,789999962;;
12;0;0;0;0;1;37;0;7,300000191;;
14;0;0;0;1;0;1;0;44,5;;
13;0;0;0;1;1;14;0;10,5;;
12;0;0;0;0;1;8;0;9,359999657;;
12;0;0;0;1;1;24;0;5,199999809;;
12;0;0;0;1;1;20;0;4,25;;
17;0;0;0;1;0;13;1;15,94999981;;
15;0;0;0;0;1;12;0;22,5;;
16;1;0;0;1;1;4;0;5;;
12;1;1;0;0;1;14;0;5,300000191;;
18;1;0;0;0;1;14;0;6,25;;
18;1;0;0;1;0;13;0;10;;
12;1;0;0;0;1;20;0;5,5;;
9;1;0;0;1;1;30;0;6,800000191;;
12;1;0;0;1;1;28;0;3;;
16;1;0;0;0;1;14;1;10;;
10;1;0;0;0;0;13;0;4,849999905;;
12;1;0;0;0;1;32;0;9,420000076;;
15;1;0;0;1;0;26;0;6;;
13;1;0;0;1;0;0;0;4,25;;
14;1;0;0;0;1;12;1;11,02000046;;
12;1;1;0;1;1;32;0;12,15999985;;
12;1;0;0;0;1;12;0;8,430000305;;
12;1;0;0;0;0;3;0;11,43000031;;
9;1;0;0;0;1;29;0;19,97999954;;
14;1;0;0;1;0;10;0;6,880000114;;
12;0;0;0;1;1;16;1;5,710000038;;
12;0;0;0;1;1;8;0;3,349999905;;
9;0;0;0;1;1;16;0;4,849999905;;
12;0;0;0;1;1;15;0;5,75;;
12;0;0;0;1;1;18;0;5,400000095;;
12;0;0;0;1;1;38;0;13,15999985;;
12;0;0;0;1;1;13;0;11,31999969;;
13;0;0;0;0;1;18;0;8,75;;
12;0;0;0;0;1;19;1;12,22000027;;
10;0;0;0;0;1;15;0;5,25;;
14;1;0;0;0;0;5;0;5,559999943;;
12;1;0;0;1;1;36;0;4,590000153;;
12;1;0;0;0;1;38;0;7,5;;
12;1;0;0;0;0;5;0;12;;
12;1;0;0;0;1;35;1;16;;
11;1;1;0;0;0;3;0;3,349999905;;
10;1;0;0;0;0;27;0;4,449999809;;
12;1;0;0;1;1;29;0;4,25;;
10;1;1;0;1;1;38;0;13,10000038;;
10;1;0;0;0;1;9;0;7;;
6;1;0;0;0;1;45;0;5,75;;
8;1;0;0;0;1;27;0;6,5;;
12;1;1;0;0;1;20;0;7,610000134;;
16;1;0;0;0;1;14;1;20,5;;
12;1;0;0;0;0;1;0;6,25;;
11;1;1;0;1;1;25;0;3,839999914;;
14;1;0;0;0;1;21;0;16,64999962;;
17;0;0;0;1;0;10;0;11,25;;
14;0;0;0;0;0;2;0;5,650000095;;
11;0;0;0;0;0;17;0;6,5;;
12;0;0;0;1;1;24;0;7,75;;
12;0;0;0;0;1;26;1;6,929999828;;
12;0;0;0;0;1;39;1;15;;
7;0;1;0;0;1;42;1;7;;
7;1;0;0;0;1;43;0;3,349999905;;
12;1;0;0;0;0;5;0;6,5;;
16;1;0;1;1;1;7;0;6,25;;
13;1;0;0;1;1;6;0;5;;
13;1;1;0;1;0;1;0;3,450000048;;
14;1;0;0;0;1;41;0;8,800000191;;
16;1;0;0;1;1;4;0;10;;
11;1;0;0;1;1;25;1;4;;
12;1;0;0;1;1;39;0;9,5;;
14;1;0;0;1;1;15;0;10,43000031;;
18;1;0;0;0;1;10;0;5,210000038;;
12;1;0;0;1;0;20;0;7,5;;
17;1;0;0;0;1;2;0;7;;
11;1;1;0;0;1;28;1;10,77999973;;
10;1;0;0;0;1;27;1;8,899999619;;
16;1;0;0;1;0;13;0;3,75;;
15;1;0;0;0;0;4;0;3,75;;
12;0;0;0;0;0;13;0;9,449999809;;
12;0;0;0;0;1;33;1;15;;
12;0;0;0;1;0;6;0;3,599999905;;
18;0;0;0;0;1;23;1;12;;
16;0;0;0;1;1;6;0;10,61999989;;
16;0;0;0;1;1;16;0;14;;
16;0;0;0;0;0;3;1;5;;
12;0;0;0;0;0;19;1;11,5;;
12;0;0;0;0;1;43;1;13,71000004;;
12;1;0;0;0;1;34;0;10,61999989;;
12;1;0;0;1;0;25;0;7,449999809;;
10;1;1;0;0;1;41;1;6,75;;
17;1;1;0;1;0;6;0;5,869999886;;
12;1;1;0;0;0;2;0;3,430000067;;
8;1;1;0;1;1;37;0;4,349999905;;
12;1;1;0;0;1;19;1;13;;
10;1;1;0;1;1;37;0;3,50999999;;
13;1;0;0;0;0;8;0;4,300000191;;
18;1;0;0;0;1;12;0;5,849999905;;
12;0;0;0;0;0;8;0;6;;
16;0;0;0;0;1;13;1;11;;
13;0;0;0;0;0;32;0;21,25;;
16;0;0;0;0;1;18;0;14,52999973;;
12;0;1;0;0;0;8;0;6,849999905;;
16;0;0;0;1;1;7;0;10;;
16;1;0;0;1;0;5;0;24,97999954;;
12;1;0;0;1;1;17;0;3,75;;
11;1;0;0;0;1;39;0;6,5;;
12;1;0;0;0;0;4;0;5;;
8;1;0;0;1;0;45;0;4,550000191;;
12;0;0;0;0;0;8;0;6,5;;
16;0;0;0;0;0;9;0;10,57999992;;
12;0;0;0;0;1;23;0;9,56000042;;
16;0;0;0;1;1;14;0;12;;
12;0;0;0;1;0;16;0;8,5;;
12;0;0;0;1;1;15;0;4,099999905;;
12;0;0;0;1;0;15;0;4,5;;
16;0;0;0;0;1;16;0;11,5;;
14;0;0;0;0;0;13;0;8,899999619;;
11;0;0;0;0;0;15;1;14,21000004;;
16;0;0;0;0;1;11;0;13,64999962;;
18;0;0;0;1;0;40;0;22,20000076;;
18;0;0;0;1;1;11;0;15;;
13;1;0;0;0;1;17;0;8,06000042;;
12;1;0;0;0;1;12;0;6,75;;
11;1;1;0;0;1;14;0;4,5;;
12;1;0;0;1;1;26;0;7;;
12;1;1;0;1;1;27;0;7,5;;
12;1;0;0;1;1;16;0;7,5;;
12;1;1;0;0;0;2;0;8,5;;
7;1;0;0;0;1;44;0;8;;
8;1;0;1;0;1;8;0;3,5;;
12;1;0;0;0;1;9;0;12,5;;
12;1;0;1;0;0;1;1;6;;
16;1;0;0;1;0;2;0;5,25;;
12;1;0;0;0;0;6;0;5;;
11;1;0;0;1;1;17;0;3,5;;
14;1;0;0;0;1;14;1;11;;
12;0;0;0;0;0;3;0;7,5;;
12;0;0;0;0;1;13;0;8,5;;
12;0;0;0;0;0;11;0;12,5;;
12;0;0;0;0;1;24;1;10,75;;
12;0;0;0;1;1;14;1;12,5;;
17;0;0;0;0;1;7;0;7,800000191;;
17;0;0;0;0;1;13;0;12;;
12;1;1;0;1;1;10;0;3,349999905;;
12;1;0;0;0;1;13;1;19,87999916;;
13;1;0;0;0;1;7;0;6;;
8;1;0;0;1;1;39;0;4,21999979;;
14;1;0;0;1;1;6;0;3,5;;
12;1;0;0;0;1;20;1;12;;
12;0;0;0;1;1;7;0;3,349999905;;
12;0;0;0;0;1;20;1;9;;
14;0;0;0;1;0;6;0;3,980000019;;
12;0;0;0;1;1;39;0;5;;
16;0;0;0;0;1;15;0;12,67000008;;
15;0;0;0;0;1;31;0;17,25;;
12;0;0;0;1;0;25;0;9,5;;
11;0;0;0;0;1;13;1;14;;
12;0;1;0;0;1;8;1;8,5;;
12;0;0;0;1;1;2;0;4,25;;
16;0;0;0;0;1;14;0;5,800000191;;
13;0;0;0;0;1;14;0;11,25;;
18;0;0;0;1;1;18;1;12;;
12;0;0;0;1;1;28;0;11,25;;
16;0;0;0;0;1;10;1;7,5;;
14;1;1;0;0;0;17;0;8,199999809;;
12;1;0;0;1;1;14;0;4,849999905;;
12;1;0;0;1;1;2;0;4,75;;
16;1;0;0;0;1;29;0;5,5;;
11;1;0;0;0;1;29;0;9,5;;
12;1;0;0;1;1;14;0;9,600000381;;
13;0;0;0;1;1;33;0;4,550000191;;
16;0;0;0;0;1;4;0;15,72999954;;
15;0;0;0;0;1;13;0;9,859999657;;
14;0;0;0;1;0;24;0;10;;
13;0;0;0;0;0;5;0;5,800000191;;
14;1;0;0;0;0;1;0;7,53000021;;
11;1;0;0;0;1;37;1;9,75;;
11;1;0;0;0;1;18;1;13;;
15;1;0;0;1;1;10;0;10,27999973;;
12;1;0;0;0;1;16;1;13,44999981;;
12;0;0;0;0;1;12;1;12,56999969;;
14;0;0;0;1;0;4;0;8,630000114;;
12;0;0;0;0;1;16;1;13,26000023;;
14;0;1;0;0;1;34;1;6,849999905;;
13;0;0;0;0;1;10;1;12,47000027;;
14;0;0;0;0;1;17;0;7,139999866;;
13;0;0;0;1;1;16;0;12,5;;
10;0;0;0;0;1;20;0;10;;
10;0;0;0;0;1;12;0;10;;
12;0;0;0;0;1;30;0;8,75;;
16;0;0;0;1;1;26;0;9,369999886;;
13;0;0;0;0;1;13;0;11,10999966;;
8;0;0;1;1;1;21;0;5,099999905;;
11;0;1;0;0;0;3;0;7,5;;
8;0;1;0;1;1;29;0;3,400000095;;
12;0;0;0;1;1;3;0;4,5;;
18;0;1;0;0;1;27;0;6,25;;
12;0;0;0;0;1;33;0;20,54999924;;
13;0;0;0;0;0;17;0;8,399999619;;
12;0;0;0;1;1;15;0;8;;
9;0;0;0;0;1;38;0;8,5;;
12;0;0;0;0;0;9;0;3,75;;
12;0;0;0;0;1;10;0;9;;
16;0;0;0;1;0;6;0;12,05000019;;
12;0;0;0;1;1;7;0;4,5;;
9;0;1;0;0;0;16;0;4,800000191;;
10;0;0;0;0;1;30;0;6,5;;
12;0;0;0;0;1;19;0;7,690000057;;
12;0;0;0;1;0;15;0;9,329999924;;
12;0;1;0;0;1;12;0;5;;
12;0;1;0;1;1;33;0;6,099999905;;
12;0;1;0;0;0;36;0;10,67000008;;
12;0;1;0;1;0;25;0;3,5;;
12;0;1;0;0;1;35;1;10;;
13;0;1;0;0;0;8;1;9;;
12;1;1;0;1;1;23;0;7,5;;
18;1;0;0;0;0;7;0;5,710000038;;
17;1;0;0;0;0;3;0;8,5;;
12;1;1;0;0;1;8;0;4;;
9;1;1;0;1;1;34;1;5,75;;
12;0;0;0;0;0;2;0;5,25;;
12;0;0;0;0;1;34;0;3,5;;
11;0;0;0;0;0;2;0;4,5;;
12;0;0;0;1;0;11;0;5,5;;
13;0;0;0;1;1;4;0;6,25;;
16;0;0;0;1;1;22;1;8,890000343;;
12;0;0;0;1;1;45;0;5,25;;
14;0;0;0;1;1;26;0;10,25;;
14;0;0;0;1;1;12;0;6,25;;
12;0;0;0;1;1;3;0;4,349999905;;
13;0;0;0;0;0;36;0;17,86000061;;
12;0;0;0;1;1;9;1;7,5;;
16;0;0;0;1;1;7;0;6,25;;
14;0;0;0;0;1;14;0;4,5;;
12;0;0;0;1;0;6;0;6,400000095;;
15;0;0;0;0;1;1;1;4,840000153;;
11;0;0;0;0;1;4;0;4,150000095;;
12;0;0;0;1;1;5;0;5,130000114;;
8;0;0;0;1;1;38;0;5,260000229;;
16;0;0;0;1;1;6;0;7,78000021;;
13;0;0;0;0;0;9;1;13,06999969;;
13;0;0;0;1;1;15;0;8;;
15;0;0;0;1;1;11;0;7,670000076;;
12;0;0;0;0;0;17;0;7,5;;
12;0;0;0;0;0;1;0;2,849999905;;
12;0;0;0;0;1;9;0;6,360000134;;
9;0;0;0;0;0;48;0;3,5;;
12;0;0;0;0;1;17;1;11,35000038;;
12;0;0;0;1;1;33;0;5,5;;
12;0;0;0;0;1;7;0;9,149999619;;
14;0;0;0;1;1;12;0;7,960000038;;
16;0;0;0;1;1;6;0;5,650000095;;
16;1;1;0;0;0;16;0;13,44999981;;
11;1;0;0;1;1;8;0;3,650000095;;
9;1;0;0;0;0;30;1;6,25;;
13;1;0;0;0;0;1;1;5,150000095;;
17;1;0;0;0;1;32;0;26,29000092;;
13;1;0;0;0;0;0;0;2,00999999;;
12;1;0;0;1;0;26;0;5;;
11;0;0;0;1;0;36;0;8,75;;
14;0;0;0;1;1;19;0;12,5;;
12;0;0;0;0;0;12;0;4;;
16;0;0;0;0;1;21;0;4,5;;
12;0;0;0;1;0;11;0;6,5;;
12;0;0;0;0;1;10;0;5,5;;
17;0;0;0;1;1;15;0;6,880000114;;
16;0;0;0;1;0;16;0;6,150000095;;
12;0;0;0;0;1;23;0;7,78000021;;
17;0;0;0;1;1;13;1;12,5;;
14;0;1;0;1;1;19;1;8,850000381;;
11;0;0;0;1;1;20;0;4,349999905;;
18;0;0;0;0;0;5;0;11,35999966;;
8;0;0;1;0;1;47;1;8,930000305;;
11;0;0;0;1;1;33;0;3,5;;
14;0;0;0;0;1;21;1;26;;
12;0;0;0;1;1;19;0;8;;
14;0;0;0;0;1;20;1;16;;
12;0;0;0;1;1;13;0;5,349999905;;
17;0;1;0;1;1;25;1;23,25;;
12;0;1;0;1;1;18;0;8,630000114;;
14;0;0;0;1;0;13;0;18,5;;
18;0;0;0;0;1;8;0;22,20000076;;
12;0;1;0;0;0;14;1;16,26000023;;
12;0;0;0;0;0;9;0;19,46999931;;
